date,facebook,twitter,linkedin,foursquare
20111005,0,0,0,0
20111006,1,0,0,0
20111007,0,0,0,0
20111008,0,0,0,0
20111009,1,0,0,0
20111010,0,0,0,0
20111011,0,0,0,0
20111012,0,0,1,0
20111013,0,0,0,0
20111014,0,0,0,0
20111015,0,0,0,0
20111016,0,0,0,0
20111017,0,0,0,0
20111018,3,0,0,0
20111019,0,0,0,0
20111020,1,0,0,0
20111021,0,0,0,0
20111022,0,0,0,0
20111023,0,0,0,0
20111024,0,0,0,0
20111025,0,0,0,0
20111026,0,0,0,0
20111027,0,0,0,0
20111028,0,0,0,0
20111029,3,0,0,1
20111030,0,0,0,0
20111031,0,0,0,0
20111101,1,0,0,0
20111102,0,0,0,0
20111103,0,0,0,0
20111104,0,0,0,0
20111105,0,0,0,0
20111106,0,0,0,0
20111107,0,1,0,0
20111108,0,0,0,0
20111109,0,1,0,0
20111110,0,0,0,0
20111111,2,1,0,0
20111112,0,0,0,0
20111113,0,0,0,0
20111114,0,0,0,0
20111115,0,0,0,0
20111116,0,0,0,0
20111117,1,0,0,0
20111118,0,0,0,0
20111119,1,0,0,0
20111120,0,0,0,0
20111121,0,0,0,0
20111122,0,0,0,0
20111123,0,0,0,0
20111124,0,0,0,0
20111125,2,0,0,0
20111126,0,0,0,0
20111127,1,0,0,1
20111128,0,0,0,0
20111129,0,0,0,0
20111130,0,2,0,0
20111201,1,2,0,1
20111202,1,0,0,0
20111203,0,0,0,0
20111204,0,0,0,0
20111205,0,0,0,0
20111206,0,1,0,0
20111207,0,0,0,0
20111208,0,1,0,0
20111209,0,0,0,0
20111210,0,0,0,0
20111211,1,0,0,0
20111212,0,0,0,0
20111213,0,0,0,0
20111214,0,3,0,0
20111215,0,1,0,0
20111216,0,0,0,0
20111217,1,0,0,0
20111218,0,0,1,0
20111219,0,0,0,0
20111220,0,2,0,0
20111221,0,0,0,0
20111222,1,3,0,0
20111223,0,0,0,0
20111224,0,0,0,0
20111225,0,0,0,0
20111226,0,0,0,1
20111227,0,0,0,0
20111228,0,0,0,0
20111229,0,2,0,0
20111230,0,0,0,0
20111231,0,1,0,3
20120101,0,1,0,0
20120102,0,0,0,0
20120103,0,0,0,0
20120104,0,0,0,0
20120105,0,0,1,0
20120106,0,0,0,0
20120107,0,0,0,0
20120108,0,0,0,0
20120109,0,0,0,0
20120110,0,0,0,0
20120111,0,0,0,0
20120112,0,0,0,0
20120113,0,0,0,0
20120114,0,0,0,0
20120115,0,0,0,0
20120116,0,0,0,0
20120117,0,0,0,0
20120118,0,0,0,0
20120119,1,1,0,0
20120120,0,0,0,0
20120121,1,0,0,0
20120122,0,0,0,0
20120123,0,1,0,0
20120124,0,0,0,0
20120125,0,0,0,0
20120126,1,0,0,0
20120127,0,0,0,0
20120128,0,0,0,0
20120129,0,0,0,0
20120130,0,0,1,0
20120131,0,0,0,0
20120201,0,0,0,0
20120202,0,0,0,0
20120203,3,0,0,0
20120204,0,0,0,0
20120205,0,0,0,0
20120206,0,0,0,0
20120207,0,0,0,0
20120208,0,0,0,0
20120209,0,0,0,0
20120210,0,0,0,0
20120211,0,0,0,0
20120212,1,1,0,0
20120213,0,0,0,0
20120214,0,1,0,0
20120215,0,1,0,0
20120216,0,0,0,0
20120217,0,0,0,0
20120218,0,0,0,0
20120219,0,0,0,0
20120220,0,0,0,0
20120221,0,0,0,0
20120222,0,0,0,0
20120223,0,0,0,0
20120224,0,0,0,0
20120225,0,0,0,0
20120226,0,0,0,0
20120227,0,0,0,0
20120228,0,0,0,0
20120229,0,0,0,0
20120301,0,0,0,0
20120302,0,0,0,0
20120303,0,0,0,0
20120304,0,0,0,0
20120305,0,0,0,0
20120306,0,0,0,0
20120307,0,0,0,0
20120308,0,0,0,0
20120309,0,2,0,0
20120310,0,0,0,0
20120311,0,0,0,0
20120312,0,0,0,0
20120313,0,0,0,0
20120314,0,0,0,0
20120315,0,1,0,0
20120316,1,1,0,0
20120317,1,1,0,0
20120318,1,0,0,0
20120319,0,0,0,0
20120320,0,0,0,0
20120321,0,1,0,0
20120322,0,0,0,0
20120323,0,0,0,0
20120324,1,0,0,0
20120325,0,0,0,0
20120326,0,0,0,0
20120327,0,0,0,0
20120328,0,2,0,0
20120329,0,0,0,0
20120330,0,0,0,0
20120331,0,0,0,0
20120401,0,0,0,0
20120402,0,0,0,0
20120403,0,0,0,0
20120404,0,2,0,0
20120405,0,0,0,0
20120406,0,1,0,0
20120407,0,0,0,0
20120408,0,0,0,0
20120409,0,0,0,0
20120410,0,1,0,0
20120411,0,0,2,0
20120412,0,1,0,0
20120413,0,1,0,0
20120414,0,0,0,0
20120415,0,2,0,0
20120416,0,0,1,0
20120417,0,0,0,0
20120418,0,0,0,0
20120419,0,0,0,0
20120420,0,1,0,0
20120421,0,0,0,0
20120422,0,0,0,0
20120423,0,0,0,0
20120424,0,0,0,0
20120425,0,0,0,0
20120426,0,0,0,0
20120427,0,0,0,0
20120428,0,0,0,1
20120429,0,0,0,0
20120430,0,0,0,0
20120501,0,0,0,0
20120502,0,0,0,0
20120503,1,2,0,0
20120504,0,1,1,0
20120505,0,0,0,0
20120506,0,0,0,0
20120507,0,0,0,0
20120508,0,0,0,0
20120509,0,1,0,0
20120510,0,0,0,0
20120511,0,1,0,0
20120512,0,0,0,0
20120513,0,0,0,0
20120514,0,0,0,0
20120515,0,0,0,0
20120516,0,2,0,0
20120517,0,2,0,0
20120518,0,1,0,0
20120519,0,0,0,0
20120520,0,0,0,0
20120521,0,0,0,0
20120522,0,1,0,0
20120523,0,1,0,0
20120524,0,2,0,0
20120525,0,0,0,0
20120526,0,0,0,0
20120527,0,0,0,0
20120528,0,0,0,0
20120529,0,0,0,0
20120530,0,3,0,0
20120531,0,1,0,0
20120601,0,0,0,0
20120602,0,0,0,0
20120603,0,0,0,0
20120604,0,0,0,0
20120605,0,1,0,0
20120606,0,0,0,0
20120607,0,0,0,0
20120608,0,0,0,0
20120609,0,0,0,0
20120610,0,0,0,0
20120611,0,0,0,0
20120612,0,0,0,0
20120613,1,0,0,0
20120614,0,0,0,0
20120615,0,0,0,0
20120616,1,0,0,0
20120617,0,0,0,0
20120618,0,0,0,0
20120619,0,0,0,0
20120620,0,0,0,0
20120621,0,0,1,0
20120622,0,0,0,0
20120623,0,0,0,0
20120624,0,0,0,0
20120625,0,0,0,0
20120626,0,0,0,0
20120627,0,1,0,0
20120628,1,0,0,0
20120629,0,0,0,0
20120630,0,0,0,0
20120701,0,0,0,0
20120702,0,0,0,0
20120703,0,0,0,0
20120704,0,0,0,0
20120705,0,1,0,0
20120706,1,0,0,0
20120707,0,0,0,0
20120708,0,0,0,0
20120709,0,1,1,1
20120710,1,3,0,1
20120711,1,2,0,0
20120712,0,0,0,0
20120713,1,0,0,0
20120714,0,0,0,0
20120715,1,0,0,0
20120716,1,2,0,0
20120717,1,0,0,0
20120718,2,3,0,0
20120719,2,2,0,0
20120720,1,1,0,0
20120721,0,0,0,0
20120722,3,1,0,0
20120723,0,0,0,0
20120724,0,1,0,0
20120725,2,0,0,0
20120726,0,1,0,0
20120727,0,2,0,0
20120728,1,0,1,0
20120729,0,0,0,0
20120730,1,0,0,0
20120731,1,0,0,0
20120801,0,1,0,0
20120802,0,2,0,0
20120803,0,0,0,0
20120804,0,0,0,0
20120805,0,0,0,0
20120806,0,0,0,0
20120807,0,0,0,0
20120808,0,0,0,0
20120809,0,1,0,0
20120810,0,1,0,0
20120811,0,0,0,0
20120812,0,0,0,0
20120813,0,0,0,0
20120814,0,0,0,0
20120815,0,0,0,0
20120816,0,0,0,0
20120817,0,4,0,0
20120818,0,0,0,0
20120819,2,0,0,0
20120820,0,2,0,0
20120821,0,0,0,0
20120822,0,1,0,0
20120823,0,0,0,0
20120824,0,0,0,0
20120825,0,0,0,0
20120826,0,0,0,0
20120827,0,0,0,0
20120828,0,0,0,0
20120829,0,0,0,0
20120830,0,0,0,0
20120831,0,0,0,0
20120901,0,0,0,0
20120902,0,0,0,0
20120903,1,0,0,0
20120904,0,0,0,0
20120905,0,0,0,0
20120906,0,0,0,0
20120907,0,0,0,0
20120908,0,0,0,0
20120909,2,0,0,0
20120910,0,1,0,0
20120911,0,0,0,0
20120912,0,0,0,0
20120913,0,0,0,0
20120914,0,0,0,0
20120915,0,0,0,0
20120916,1,0,0,0
20120917,0,0,0,0
20120918,0,0,0,0
20120919,0,1,0,0
20120920,0,0,0,0
20120921,0,1,0,0
20120922,0,0,0,0
20120923,1,0,0,0
20120924,0,1,0,0
20120925,0,0,0,0
20120926,1,2,0,0
20120927,1,0,0,0
20120928,0,0,0,0
20120929,0,0,0,0
20120930,0,0,0,0
20121001,0,0,0,0
20121002,0,1,0,0
20121003,0,0,0,0
20121004,0,0,0,0
20121005,0,0,0,0
20121006,0,0,0,0
20121007,1,0,0,0
20121008,0,1,0,0
20121009,0,0,1,0
20121010,0,1,0,0
20121011,0,0,0,0
20121012,0,0,0,0
20121013,0,0,0,0
20121014,0,0,0,0
20121015,3,0,0,0
20121016,0,0,0,0
20121017,0,2,1,0
20121018,0,0,0,0
20121019,0,0,0,0
20121020,0,0,0,0
20121021,0,1,0,0
20121022,0,0,0,0
